Question_Number,Question_ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Option_E,Option_F,Option_G,Option_H,Correct_Answer
1,UK8295094,"Given code: public class Test { public static void main(String[] args) { byte b1 = (byte) (127 + 21); System.out.println(b1); } } What is the result?",148,Compilation error,-108,128,,,,,"C"
2,UK8291966,"Consider below code: public class Test { public static void main(String[] args) { char c = 'Z'; long l = 100_00l; int i = 9_2; float f = 2.02f; double d = 10_0.35d; l = c + i; f = c * l * i * f; f = l + i + c; i = (int)d; f = (long)d; } } Does above code compile successfully?",Yes,No,,,,,,,A
3,UK8298118,"Consider below code: package com.examtest.ocp; public class Test { public static void main(String[] args) { char c1 = 'a'; int i1 = c1; System.out.println(i1); } } What is the result?",a,97,Line n1 causes compilation failure,Line n1 causes runtime error,,,,,"B"
4,UK8291961,"Consider below statements: 1. int x = 5____0; 2. int y = ____50; 3. int z = 50____; 4. float f = 123.76_86f; 5. double d = 1_2_3_4; How many statements are legal?",One statement only,Two statements only,Three statements only,Four statements only,All 5 statements,,,,"C"
5,UK8298119,"Given code: package com.examtest.ocp; public class Test { public static void main(String[] args) { byte b1 = 10; int i1 = b1; byte b2 = i1; System.out.println(b1 + i1 + b2); } } What is the result?",Line n1 causes compilation error,Line n2 causes compilation error,Line n3 causes compilation error,30 is printed on to the console,,,,,"C"
6,UK8295088,"Range of short data type is from -32768 to 32767. Which of the following code segments will compile successfully? Choose 3 options.","short s1 = 10;","short s2 = 32768;","final int i3 = 10;short s3 = i3;","final int i4 = 40000;short s4 = i4;","final int i5 = 10;short s5 = i5 + 100;","final int m = 25000;final int n = 25000;short s6 = m + n;","int i7 = 10;short s7 = i7;",,"A,C,E"
7,UK8297266,"Consider below code: package com.examtest.ocp; public class Test { public static void main(String[] args) { boolean b1 = 0; boolean b2 = 1; System.out.println(b1 + b2); } } What is the result?",0,1,true,false,Compilation error,,,,"E"
8,UK8298116,"Consider below code: package com.examtest.ocp; public class Test { public static void main(String[] args) { Boolean b1 = Boolean.valueOf(""tRuE""); Boolean b2 = Boolean.valueOf(""fAlSe""); Boolean b3 = Boolean.valueOf(""abc""); Boolean b4 = null; System.out.println(b1 + "":"" + b2 + "":"" + b3 + "":"" + b4); } } What is the result?","false:false:false:null","true:false:false:null","false:false:true:null",Compilation error,,,,,"B"
9,UK8298115,"Consider below code with two add methods - one taking double primitives and one taking Double objects. What happens when add(10.0, null) is called?",Compilation error,"double version: 10.0","Double version: 10.0",An exception is thrown at runtime,,,,,"D"
10,UK8297268,"Consider code with overloaded method m accepting Object, Number, and Double. What is printed when m(1) is called?",Compilation error,Object version,Number version,Double version,,,,,"C"
11,UK8298594,"Consider code: extractInt(2.7); extractInt(2); where extractInt accepts Double. What is the result?",22,32,Compilation error in main method,Compilation error in extractInt method,An exception is thrown at runtime,,,,"C"
12,UK8295085,"Consider code that iterates through array {""abc"", ""TrUe"", ""false"", null, ""FALSE""} and prints T or F based on Boolean.valueOf(s). What is the result?",FTFFF,FFFFF,TTFTT,TTTFT,NullPointerException is thrown at runtime,,,,"A"
